web_scraper_order,web_scraper_start_url,fiche_voiture,prix,kilometrage,region,boite_vitesse,titre_complet,pagination,annee
1786756863-139,https://www.gaaraas.com/fr/users/dakar-auto?page=1,https://www.gaaraas.com/fr/vehicle_listings/annonce-jeep-patriot-dakar-dakar-2808,CFA 3 900 000,140 000 km,Dakar,Manuelle,Jeep Patriot,https://www.gaaraas.com/fr/users/dakar-auto?page=6,2010
1786756868-140,https://www.gaaraas.com/fr/users/dakar-auto?page=1,https://www.gaaraas.com/fr/vehicle_listings/annonce-bmw-315-dakar-dakar-4141,CFA 1 500 000,120 000 km,Dakar,Manuelle,BMW 315,https://www.gaaraas.com/fr/users/dakar-auto?page=6,2007
1786756874-141,https://www.gaaraas.com/fr/users/dakar-auto?page=1,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-4364,CFA 2 500 000,120 000 km,Dakar,Automatique,Peugeot 307,https://www.gaaraas.com/fr/users/dakar-auto?page=6,2007
1786756879-142,https://www.gaaraas.com/fr/users/dakar-auto?page=1,https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-rav4-dakar-dakar-4163,CFA 2 900 000,130 000 km,Dakar,Manuelle,Toyota RAV4,https://www.gaaraas.com/fr/users/dakar-auto?page=6,2008
1786756885-143,https://www.gaaraas.com/fr/users/dakar-auto?page=1,https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-19-dakar-dakar-1890,CFA 1 800 000,180 000 km,Dakar,Manuelle,Renault 19,https://www.gaaraas.com/fr/users/dakar-auto?page=6,2000
1786756891-144,https://www.gaaraas.com/fr/users/dakar-auto?page=1,https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-logan-dakar-dakar-2773,CFA 2 900 000,160 000 km,Dakar,Manuelle,Renault Logan,https://www.gaaraas.com/fr/users/dakar-auto?page=6,2007
1786756897-145,https://www.gaaraas.com/fr/users/dakar-auto?page=1,https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c3-dakar-dakar-4136,CFA 2 100 000,110 000 km,Dakar,Manuelle,Citroen C3,https://www.gaaraas.com/fr/users/dakar-auto?page=6,2008
1786756902-146,https://www.gaaraas.com/fr/users/dakar-auto?page=1,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-308-dakar-dakar-4198,CFA 2 800 000,230 000 km,Dakar,Manuelle,Peugeot 308,https://www.gaaraas.com/fr/users/dakar-auto?page=5,2007
1786756917-147,https://www.gaaraas.com/fr/users/dakar-auto?page=1,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-405-dakar-dakar-2514,CFA 2 200 000,160 000 km,Dakar,Manuelle,Peugeot 405,https://www.gaaraas.com/fr/users/dakar-auto?page=5,2002
1786756924-148,https://www.gaaraas.com/fr/users/dakar-auto?page=1,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-807-dakar-dakar-1879,CFA 2 800 000,160 000 km,Dakar,Manuelle,Peugeot 807,https://www.gaaraas.com/fr/users/dakar-auto?page=5,2007
1786756930-149,https://www.gaaraas.com/fr/users/dakar-auto?page=1,https://www.gaaraas.com/fr/vehicle_listings/annonce-hyundai-elantra-dakar-dakar-1235,CFA 6 500 000,66 000 km,Dakar,Automatique,Hyundai Elantra,https://www.gaaraas.com/fr/users/dakar-auto?page=5,2013
1786756936-150,https://www.gaaraas.com/fr/users/dakar-auto?page=1,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-3584,CFA 2 700 000,140 000 km,Dakar,Manuelle,Peugeot 307,https://www.gaaraas.com/fr/users/dakar-auto?page=5,2004
1786756943-151,https://www.gaaraas.com/fr/users/dakar-auto?page=1,https://www.gaaraas.com/fr/vehicle_listings/annonce-skoda-octavia-dakar-dakar-1928,CFA 1 900 000,160 000 km,Dakar,Manuelle,Skoda Octavia,https://www.gaaraas.com/fr/users/dakar-auto?page=5,2008
1786756949-152,https://www.gaaraas.com/fr/users/dakar-auto?page=1,https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-19-dakar-dakar-2615,CFA 2 000 000,160 000 km,Dakar,Manuelle,Renault 19,https://www.gaaraas.com/fr/users/dakar-auto?page=5,2000
1786756958-153,https://www.gaaraas.com/fr/users/dakar-auto?page=1,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-862,CFA 2 000 000,160 000 km,Dakar,Manuelle,Peugeot 307,https://www.gaaraas.com/fr/users/dakar-auto?page=5,2007
1786756964-154,https://www.gaaraas.com/fr/users/dakar-auto?page=1,https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c5-dakar-dakar-4380,CFA 2 100 000,334 000 km,Dakar,Manuelle,Citroen C5,https://www.gaaraas.com/fr/users/dakar-auto?page=5,2005
1786756988-155,https://www.gaaraas.com/fr/users/dakar-auto?page=1,https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-prado-dakar-dakar-2902,CFA 4 000 000,140 000 km,Dakar,Manuelle,Toyota Prado,https://www.gaaraas.com/fr/users/dakar-auto?page=5,2000
1786757005-156,https://www.gaaraas.com/fr/users/dakar-auto?page=1,https://www.gaaraas.com/fr/vehicle_listings/annonce-mitsubishi-l200-dakar-dakar-291,CFA 11 900 000,116 000 km,Dakar,Manuelle,Mitsubishi L200,https://www.gaaraas.com/fr/users/dakar-auto?page=5,2012
1786757037-157,https://www.gaaraas.com/fr/users/dakar-auto?page=1,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-605-dakar-dakar-2622,CFA 2 200 000,160 000 km,Dakar,Manuelle,Peugeot 605,https://www.gaaraas.com/fr/users/dakar-auto?page=5,2004
1786757054-158,https://www.gaaraas.com/fr/users/dakar-auto?page=1,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-406-dakar-dakar-1152,CFA 2 600 000,160 000 km,Dakar,Manuelle,Peugeot 406,https://www.gaaraas.com/fr/users/dakar-auto?page=5,2003
1786757090-159,https://www.gaaraas.com/fr/users/dakar-auto?page=1,https://www.gaaraas.com/fr/vehicle_listings/annonce-nissan-murano-dakar-dakar-855,CFA 3 200 000,115 305 km,Dakar,Automatique,Nissan Murano,https://www.gaaraas.com/fr/users/dakar-auto?page=5,2008
1786757120-160,https://www.gaaraas.com/fr/users/dakar-auto?page=1,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-407-dakar-dakar-569,CFA 2 800 000,120 000 km,Dakar,Manuelle,Peugeot 407,https://www.gaaraas.com/fr/users/dakar-auto?page=5,2007
1786757138-161,https://www.gaaraas.com/fr/users/dakar-auto?page=1,https://www.gaaraas.com/fr/vehicle_listings/annonce-kia-sorento-dakar-dakar-2807,CFA 3 800 000,140 000 km,Dakar,Manuelle,Kia Sorento,https://www.gaaraas.com/fr/users/dakar-auto?page=5,2009
1786757150-162,https://www.gaaraas.com/fr/users/dakar-auto?page=1,https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-19-dakar-dakar-1861,CFA 2 300 000,180 000 km,Dakar,Manuelle,Renault 19,https://www.gaaraas.com/fr/users/dakar-auto?page=5,1989
1786757165-163,https://www.gaaraas.com/fr/users/dakar-auto?page=1,https://www.gaaraas.com/fr/vehicle_listings/annonce-chevrolet-camaro-dakar-dakar-325,CFA 4 000 000,220 000 km,Dakar,Manuelle,Chevrolet Camaro,https://www.gaaraas.com/fr/users/dakar-auto?page=5,2012
1786757196-164,https://www.gaaraas.com/fr/users/dakar-auto?page=1,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-1575,CFA 2 800 000,160 000 km,Dakar,Manuelle,Peugeot 307,https://www.gaaraas.com/fr/users/dakar-auto?page=5,2008
1786757218-165,https://www.gaaraas.com/fr/users/dakar-auto?page=1,https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-camry-dakar-dakar-3067,CFA 3 500 000,145 000 km,Dakar,Automatique,Toyota Camry,https://www.gaaraas.com/fr/users/dakar-auto?page=5,2009
1786757237-166,https://www.gaaraas.com/fr/users/dakar-auto?page=1,https://www.gaaraas.com/fr/vehicle_listings/annonce-dacia-logan-dakar-dakar-848,CFA 2 000 000,161 000 km,Dakar,Manuelle,Dacia Logan,https://www.gaaraas.com/fr/users/dakar-auto?page=4,2010
1786757268-167,https://www.gaaraas.com/fr/users/dakar-auto?page=1,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-583,CFA 2 500 000,128 000 km,Dakar,Manuelle,Peugeot 307,https://www.gaaraas.com/fr/users/dakar-auto?page=4,2008
1786757303-168,https://www.gaaraas.com/fr/users/dakar-auto?page=1,https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-taurus-dakar-dakar-3404,CFA 3 800 000,200 000 km,Dakar,Manuelle,Ford Taurus,https://www.gaaraas.com/fr/users/dakar-auto?page=4,2006
